ID;Fläche in ha;Anzahl WEAs
PR3_DIT_007;131.712;7
PR3_DIT_008;144.945;20
PR3_DIT_023;314.234;36
PR3_DIT_025;225.914;27
PR3_DIT_031;226.834;28
PR3_DIT_039;0.0;0
PR3_DIT_040;56.448;3
PR3_DIT_043;82.826;5
PR3_DIT_044;0.0;0
PR3_DIT_045;85.91;9
PR3_DIT_047;137.895;21
PR3_DIT_051;417.979;38
PR3_DIT_059;342.715;34
PR3_DIT_073;94.08;5
PR3_DIT_083;77.976;4
PR3_DIT_096;258.912;22
PR3_DIT_097;160.638;8
PR3_DIT_100;136.36;14
PR3_DIT_102;170.016;10
PR3_DIT_104;40.159;2
PR3_DIT_107;177.278;14
PR3_DIT_108;0.0;0
PR3_DIT_109;40.344;4
PR3_DIT_110;264.426;25
PR3_LAU_001;112.896;6
PR3_LAU_033;12.262;3
PR3_LAU_063;124.892;6
PR3_LAU_067;63.426;11
PR1_NFL_002;53.608;3
PR1_NFL_006;0.0;0
PR1_NFL_009;174.104;9
PR1_NFL_014;174.104;9
PR1_NFL_019;38.307;2
PR1_NFL_025;76.982;4
PR1_NFL_026;174.496;9
PR1_NFL_031;160.266;12
PR1_NFL_032;0.0;0
PR1_NFL_035;48.672;3
PR1_NFL_043;170.694;9
PR1_NFL_045;48.672;3
PR1_NFL_047;48.672;3
PR1_NFL_049;0.0;0
PR1_NFL_056;18.816;1
PR1_NFL_057;0.0;0
PR1_NFL_069;74.134;10
PR1_NFL_074;48.672;3
PR1_NFL_080;0.0;0
PR1_NFL_082;23.786;2
PR1_NFL_086;184.358;19
PR1_NFL_091;0.0;0
PR1_NFL_095;257.304;17
PR1_NFL_096;194.94;10
PR1_NFL_097;36.315;3
PR1_NFL_100;190.042;20
PR1_NFL_102;333.584;20
PR1_NFL_104;164.102;10
PR1_NFL_111;0.0;0
PR1_NFL_113;183.15;18
PR1_NFL_115;84.357;8
PR1_NFL_122;195.798;18
PR1_NFL_135;123.003;11
PR1_NFL_301;0.0;0
PR1_NFL_303;18.816;1
PR1_NFL_309;0.0;0
PR1_NFL_425;4.788;1
PR1_NFL_427;134.075;7
PR1_NFL_504;121.765;15
PR3_OHS_001;22.684;3
PR3_OHS_012;83.89;7
PR3_OHS_015;0.0;0
PR3_OHS_021;14.912;2
PR3_OHS_022;0.0;0
PR3_OHS_025;0.0;0
PR3_OHS_037;36.75;5
PR3_OHS_040;0.0;0
PR3_OHS_047;0.0;0
PR3_OHS_049;0.0;0
PR3_OHS_050;42.096;5
PR3_OHS_062;0.0;0
PR3_OHS_068;0.0;0
PR3_OHS_069;26.136;4
PR3_OHS_076;0.0;0
PR3_OHS_077;0.0;0
PR3_OHS_420;22.684;3
PR3_PIN_009;28.83;5
PR2_PLO_002;39.259;6
PR2_PLO_030;0.0;0
PR2_RDE_025;194.94;10
PR2_RDE_029;0.0;0
PR2_RDE_033;54.432;7
PR2_RDE_034;80.808;4
PR2_RDE_039;81.853;4
PR2_RDE_046;0.0;0
PR2_RDE_075;122.78;6
PR2_RDE_094;132.39;7
PR2_RDE_121;97.56;11
PR2_RDE_122;214.434;11
PR2_RDE_140;82.134;4
PR2_RDE_142;129.547;12
PR2_RDE_144;0.0;0
PR3_SEG_003;40.159;2
PR3_SEG_019;20.172;2
PR3_SEG_024;112.994;10
PR3_SEG_028;0.0;0
PR3_SEG_035;53.688;4
PR3_SEG_057;25.35;1
PR3_SEG_327;0.0;0
PR1_SLF_004;0.0;0
PR1_SLF_011;110.166;6
PR1_SLF_019;0.0;0
PR1_SLF_021;0.0;0
PR1_SLF_028;93.392;8
PR1_SLF_034;10.086;1
PR1_SLF_035;177.723;12
PR1_SLF_043;10.086;1
PR1_SLF_052;38.988;2
PR1_SLF_059;0.0;0
PR1_SLF_060;0.0;0
PR1_SLF_065;67.122;3
PR1_SLF_066;117.696;8
PR1_SLF_069;0.0;0
PR1_SLF_081;0.0;0
PR1_SLF_085;32.448;2
PR1_SLF_102;54.336;8
PR1_SLF_103;106.035;12
PR1_SLF_105;19.494;1
PR1_SLF_106;96.069;18
PR1_SLF_109;65.887;15
PR3_STE_005;117.024;13
PR3_STE_008;48.735;10
PR3_STE_012;110.244;13
PR3_STE_013;4.874;1
PR3_STE_027;0.0;0
PR3_STE_041;0.0;0
PR3_STE_049;62.73;8
PR3_STE_056;0.0;0
PR3_STE_059;107.712;17
PR3_STE_060;0.0;0
PR3_STE_065;77.27;8
PR3_STE_069;77.27;8
PR3_STE_072;80.059;12
PR3_STE_073;118.936;23
PR3_STE_083;282.24;15
PR3_STE_084;80.7;5
PR3_STE_090;0.0;0
PR3_STE_094;0.0;0
PR3_STE_095;0.0;0
PR3_STE_096;73.734;8
PR3_STE_098;31.65;4
PR3_STE_100;30.0;2
