Stations_id;von_datum;bis_datum;Stationshoehe;Messhoehe;geoBreite;geoLaenge;Stationsname;Bundesland
788;19650101;20211109;3;10;541.193;88.584;Büsum;Schleswig-Holstein
1200;20071120;20211109;3;10;540.691;90.105;Elpersbüttel;Schleswig-Holstein
1975;19500101;20211109;11;10;536.332;99.881;Hamburg-Fuhlsbüttel;Hamburg
2115;19590101;20211109;4;10;541.750;78.920;Helgoland;Schleswig-Holstein
2303;19690101;20211031;10;10;543.162;95.385;Hohn;Schleswig-Holstein
2429;19880301;20211109;21;10;539.897;95.696;Itzehoe;Schleswig-Holstein
2564;19740101;20211109;28;10;543.776;101.424;Kiel-Holtenau;Schleswig-Holstein
2907;19710101;20211109;7;10;547.903;89.514;Leck;Schleswig-Holstein
3086;19850301;20211109;15;10;538.025;106.989;Lübeck-Blankensee;Schleswig-Holstein
3897;20060818;20211109;2;15;540.893;108.773;Pelzerhaken;Schleswig-Holstein
4039;19821201;20211109;11;10;537.331;98.776;Quickborn;Schleswig-Holstein
4466;19580201;20211109;43;10;545.275;95.487;Schleswig;Schleswig-Holstein
4919;19771001;20210421;7;10;544.965;88.069;Strucklahnungshörn;Schleswig-Holstein
5078;19710101;20211109;2;13,4;539.619;108.892;Travemünde;Schleswig-Holstein
5516;19570701;20211109;3;10;545.283;110.606;Fehmarn;Schleswig-Holstein
5877;19970310;20211109;5;10;543.160;108.002;Putlos;Schleswig-Holstein
1379;19821201;20211109;41;10;547.737;93.752;Flensburg;Schleswig-Holstein
4393;19690101;20211109;5;10;543.279;86.031;Sankt Peter-Ording;Schleswig-Holstein
5930;19810801;20211109;1;10;546.410;100.238;Schönhagen;Schleswig-Holstein
6108;20010627;20211109;7;12;537.197;94.192;Ruthenstrom;Niedersachsen
