FlächenID;Fläche in ha;Anzahl WEAs
1_PR3_DIT_007;158.876;11
2_PR3_DIT_008;182.703;26
3_PR3_DIT_023;501.509;69
4_PR3_DIT_025;452.927;47
5_PR3_DIT_031;592.841;71
6_PR3_DIT_039;226.47;12
7_PR3_DIT_040;188.838;10
8_PR3_DIT_043;344.59;20
9_PR3_DIT_044;94.08;5
10_PR3_DIT_045;445.305;47
11_PR3_DIT_047;556.484;71
12_PR3_DIT_051;800.987;74
13_PR3_DIT_059;893.241;83
14_PR3_DIT_073;188.16;10
15_PR3_DIT_083;232.394;15
16_PR3_DIT_096;394.803;34
17_PR3_DIT_097;368.291;30
18_PR3_DIT_100;714.639;76
19_PR3_DIT_102;333.315;24
20_PR3_DIT_104;281.854;22
21_PR3_DIT_107;619.078;48
22_PR3_DIT_108;6.11;2
23_PR3_DIT_109;314.302;24
24_PR3_DIT_110;432.9;37
25_PR3_LAU_001;131.712;7
26_PR3_LAU_033;65.396;16
27_PR3_LAU_063;124.892;6
28_PR3_LAU_067;163.985;18
29_PR1_NFL_002;287.561;20
30_PR1_NFL_006;241.292;13
31_PR1_NFL_009;387.302;23
32_PR1_NFL_014;387.302;23
33_PR1_NFL_019;152.891;8
34_PR1_NFL_025;174.496;9
35_PR1_NFL_026;318.276;19
36_PR1_NFL_031;432.185;30
37_PR1_NFL_032;108.417;8
38_PR1_NFL_035;222.784;14
39_PR1_NFL_043;426.256;23
40_PR1_NFL_045;222.784;14
41_PR1_NFL_047;222.784;14
42_PR1_NFL_049;119.025;6
43_PR1_NFL_056;275.718;18
44_PR1_NFL_057;210.736;11
45_PR1_NFL_069;158.247;19
46_PR1_NFL_074;80.198;5
47_PR1_NFL_080;313.775;22
48_PR1_NFL_082;402.624;33
49_PR1_NFL_086;364.241;36
50_PR1_NFL_091;200.811;23
51_PR1_NFL_095;552.675;38
52_PR1_NFL_096;nan;30
53_PR1_NFL_097;359.552;43
54_PR1_NFL_100;645.616;61
55_PR1_NFL_102;369.302;22
56_PR1_NFL_104;369.302;22
57_PR1_NFL_111;271.446;19
58_PR1_NFL_113;244.686;26
59_PR1_NFL_115;348.519;33
60_PR1_NFL_122;418.945;36
61_PR1_NFL_135;287.283;20
62_PR1_NFL_301;161.808;13
63_PR1_NFL_303;98.838;7
64_PR1_NFL_309;83.358;9
65_PR1_NFL_425;135.351;8
66_PR1_NFL_427;154.164;9
67_PR1_NFL_504;264.471;29
68_PR3_OHS_001;158.791;21
69_PR3_OHS_012;169.256;16
70_PR3_OHS_015;45.906;8
71_PR3_OHS_021;114.063;17
72_PR3_OHS_022;88.233;13
73_PR3_OHS_025;0.0;0
74_PR3_OHS_037;177.544;28
75_PR3_OHS_040;72.777;11
76_PR3_OHS_047;95.768;5
77_PR3_OHS_049;0.0;0
78_PR3_OHS_050;290.281;32
79_PR3_OHS_062;0.0;0
80_PR3_OHS_068;0.0;0
81_PR3_OHS_069;86.52;14
82_PR3_OHS_076;0.0;0
83_PR3_OHS_077;0.0;0
84_PR3_OHS_420;158.791;21
85_PR3_PIN_009;34.596;6
86_PR2_PLO_002;42.163;7
87_PR2_PLO_030;59.435;8
88_PR2_RDE_025;275.748;14
89_PR2_RDE_029;103.321;14
90_PR2_RDE_033;54.432;7
91_PR2_RDE_034;158.784;8
92_PR2_RDE_039;151.153;9
93_PR2_RDE_046;141.45;10
94_PR2_RDE_075;122.78;6
95_PR2_RDE_094;132.39;7
96_PR2_RDE_121;113.76;14
97_PR2_RDE_122;233.928;12
98_PR2_RDE_140;82.134;4
99_PR2_RDE_142;236.658;19
100_PR2_RDE_144;137.714;9
101_PR3_SEG_003;40.159;2
102_PR3_SEG_019;199.401;23
103_PR3_SEG_024;175.361;16
104_PR3_SEG_028;0.0;0
105_PR3_SEG_035;161.064;12
106_PR3_SEG_057;89.1;6
107_PR3_SEG_327;0.0;0
108_PR1_SLF_004;38.988;2
109_PR1_SLF_011;142.356;8
110_PR1_SLF_019;42.222;5
111_PR1_SLF_021;132.38;10
112_PR1_SLF_028;109.616;9
113_PR1_SLF_034;224.727;18
114_PR1_SLF_035;393.229;27
115_PR1_SLF_043;224.727;18
116_PR1_SLF_052;306.267;28
117_PR1_SLF_059;147.936;8
118_PR1_SLF_060;38.988;2
119_PR1_SLF_065;413.811;22
120_PR1_SLF_066;117.696;8
121_PR1_SLF_069;79.184;10
122_PR1_SLF_081;nan;8
123_PR1_SLF_085;32.448;2
124_PR1_SLF_102;284.988;35
125_PR1_SLF_103;284.587;34
126_PR1_SLF_105;163.205;22
127_PR1_SLF_106;391.454;53
128_PR1_SLF_109;259.969;40
129_PR3_STE_005;129.506;15
130_PR3_STE_008;109.941;14
131_PR3_STE_012;313.11;27
132_PR3_STE_013;109.941;14
133_PR3_STE_027;57.906;10
134_PR3_STE_041;12.288;2
135_PR3_STE_049;119.076;16
136_PR3_STE_056;70.848;11
137_PR3_STE_059;107.712;17
138_PR3_STE_060;52.296;7
139_PR3_STE_065;241.55;21
140_PR3_STE_069;241.55;21
141_PR3_STE_072;121.105;18
142_PR3_STE_073;462.533;46
143_PR3_STE_083;373.366;24
144_PR3_STE_084;111.303;7
145_PR3_STE_090;45.0;3
146_PR3_STE_094;173.804;15
147_PR3_STE_095;203.664;14
148_PR3_STE_096;83.334;9
149_PR3_STE_098;180.384;17
150_PR3_STE_100;143.307;9
